* Measurement data measured by REW V5.20.13
* Source: C:\Users\DABKING\Desktop\Harman IE 2019 v2 Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 12. 29 ¿ÀÈÄ 10:13:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Desktop\Harman IE 2019 v2 Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,967 Hz log spaced
* Measurement: Harman IE 2019 v2 Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
3350.000000	-71.005
3400.000000	-70.986
3450.000000	-70.962
3500.000000	-70.935
3550.000000	-70.904
3600.000000	-70.865
3650.000000	-70.820
3700.000000	-70.775
3750.000000	-70.729
3820.000000	-70.662
3870.000000	-70.614
3950.000000	-70.537
4000.000000	-70.486
4060.000000	-70.422
4120.000000	-70.356
4180.000000	-70.289
4250.000000	-70.210
4310.000000	-70.141
4370.000000	-70.070
4440.000000	-69.987
4500.000000	-69.916
4550.000000	-69.856
4620.000000	-69.772
4680.000000	-69.701
4750.000000	-69.617
4820.000000	-69.534
4870.000000	-69.475
4940.000000	-69.393
5000.000000	-69.326
5080.000000	-69.243
5150.000000	-69.174
5220.000000	-69.105
5300.000000	-69.026
5380.000000	-68.945
5450.000000	-68.874
5520.000000	-68.803
5600.000000	-68.726
5700.000000	-68.636
5800.000000	-68.550
5900.000000	-68.464
6000.000000	-68.367
6080.000000	-68.270
6150.000000	-68.177
6220.000000	-68.082
6300.000000	-67.977
6400.000000	-67.849
6500.000000	-67.723
6600.000000	-67.596
6700.000000	-67.461
6800.000000	-67.313
6900.000000	-67.158
7000.000000	-67.000
7100.000000	-66.833
7200.000000	-66.652
7300.000000	-66.463
7400.000000	-66.273
7500.000000	-66.086
7620.000000	-65.867
7750.000000	-65.634
7880.000000	-65.400
8000.000000	-65.178
8120.000000	-64.944
8250.000000	-64.683
8380.000000	-64.421
8500.000000	-64.174
8620.000000	-63.919
8750.000000	-63.638
8850.000000	-63.421
9000.000000	-63.092
9120.000000	-62.824
9250.000000	-62.531
9380.000000	-62.237
9500.000000	-61.963
9620.000000	-61.688
9750.000000	-61.388
9880.000000	-61.093
10000.000000	-60.831
10150.000000	-60.524
10300.000000	-60.229
10440.000000	-59.957
10600.000000	-59.646
10750.000000	-59.355
10900.000000	-59.064
11060.000000	-58.753
11200.000000	-58.483
11380.000000	-58.138
11500.000000	-57.909
11720.000000	-57.498
11800.000000	-57.357
12060.000000	-56.926
12200.000000	-56.703
12410.000000	-56.371
12500.000000	-56.231
12650.000000	-55.998
12800.000000	-55.768
13150.000000	-55.241
13200.000000	-55.168
13400.000000	-54.888
13600.000000	-54.617
13800.000000	-54.350
14000.000000	-54.090
14300.000000	-53.723
14500.000000	-53.486
14750.000000	-53.187
15000.000000	-52.872
15250.000000	-52.522
15500.000000	-52.159
15750.000000	-51.788
16000.000000	-51.387
16250.000000	-50.941
16500.000000	-50.470
16750.000000	-49.985
17000.000000	-49.463
17250.000000	-48.888
17500.000000	-48.281
17750.000000	-47.661
18000.000000	-47.007
18250.000000	-46.297
18500.000000	-45.558
18750.000000	-44.811
19000.000000	-44.042
19250.000000	-43.243
19500.000000	-42.435
19750.000000	-41.690
